site,year,date,permanent_trip_id,gear,inside_area,fishing_ground,landing_site,species,sampled_catch,total_catch,length_cm,days,personDays,fisher_days.x,fisher_days.y,fisher_days.x.x,fisher_days.y.y,fisher_days
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,35.704,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,29.318,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,34.046,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,35.844,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,34.467,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,27.672,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,30.438,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,26.715,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,32.57,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,35.084,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Caesio cuning,NA,31.46308461,39.884,1,2,2,2,2,2,2
FF_Site1,2003,4/30/03,2003_1,Trap,Inside,Cemara Besar,Karimunjawa,Plectropomus oligacanthus,NA,31.46308461,46.132,1,2,2,2,2,2,2
