site,year,species,gear,length_cm
Test_FF_Site,2003,Caesio cuning,Trap,35.704
Test_FF_Site,2003,Caesio cuning,Trap,29.318
Test_FF_Site,2003,Caesio cuning,Trap,34.046
Test_FF_Site,2003,Caesio cuning,Trap,35.844
Test_FF_Site,2003,Caesio cuning,Trap,34.467
Test_FF_Site,2003,Caesio cuning,Trap,27.672
Test_FF_Site,2003,Caesio cuning,Trap,30.438
Test_FF_Site,2003,Caesio cuning,Trap,26.715
Test_FF_Site,2003,Caesio cuning,Trap,32.57
Test_FF_Site,2003,Caesio cuning,Trap,35.084
Test_FF_Site,2003,Caesio cuning,Trap,39.884
Test_FF_Site,2003,Caesio cuning,Trap,27.557
Test_FF_Site,2003,Caesio cuning,Trap,28.621
Test_FF_Site,2003,Caesio cuning,Trap,29.38
Test_FF_Site,2003,Caesio cuning,Trap,26.191
Test_FF_Site,2003,Caesio cuning,Trap,34.041
Test_FF_Site,2003,Caesio cuning,Muroami,27.193
Test_FF_Site,2003,Caesio cuning,Muroami,25.572
Test_FF_Site,2003,Caesio cuning,Muroami,26.253
Test_FF_Site,2003,Caesio cuning,Muroami,28.215
Test_FF_Site,2003,Caesio cuning,Muroami,25.647
Test_FF_Site,2003,Caesio cuning,Muroami,30.682
Test_FF_Site,2003,Caesio cuning,Muroami,23.157
Test_FF_Site,2003,Caesio cuning,Handline,18.58
Test_FF_Site,2003,Caesio cuning,Handline,16.176
Test_FF_Site,2003,Caesio cuning,Handline,19.919
Test_FF_Site,2003,Caesio cuning,Handline,20.875
Test_FF_Site,2003,Caesio cuning,Handline,19.343
Test_FF_Site,2003,Caesio cuning,Handline,19.836
Test_FF_Site,2003,Caesio cuning,Handline,16.04
Test_FF_Site,2003,Caesio cuning,Handline,19.816
Test_FF_Site,2003,Caesio cuning,Handline,17.309
Test_FF_Site,2003,Caesio cuning,Handline,21.91
Test_FF_Site,2003,Caesio cuning,Handline,20.227
Test_FF_Site,2003,Caesio cuning,Handline,19.309
Test_FF_Site,2003,Caesio cuning,Handline,13.997
Test_FF_Site,2003,Caesio cuning,Handline,19.106
Test_FF_Site,2003,Caesio cuning,Gillnet,33.162
Test_FF_Site,2003,Caesio cuning,Gillnet,32.713
Test_FF_Site,2003,Caesio cuning,Gillnet,32.577
Test_FF_Site,2003,Caesio cuning,Trap,28.698
Test_FF_Site,2003,Caesio cuning,Trap,33.417
Test_FF_Site,2003,Caesio cuning,Gillnet,26.96
Test_FF_Site,2003,Caesio cuning,Gillnet,34.585
Test_FF_Site,2003,Caesio cuning,Gillnet,36.98
Test_FF_Site,2003,Caesio cuning,Gillnet,34.847
Test_FF_Site,2003,Caesio cuning,Trap,30.813
Test_FF_Site,2003,Caesio cuning,Trap,30.012
Test_FF_Site,2003,Caesio cuning,Trap,27.474
Test_FF_Site,2003,Caesio cuning,Gillnet,35.357
Test_FF_Site,2003,Caesio cuning,Trap,27.328
Test_FF_Site,2003,Caesio cuning,Trap,31.753
Test_FF_Site,2003,Caesio cuning,Trap,33.118
Test_FF_Site,2003,Caesio cuning,Trap,26.298
Test_FF_Site,2003,Caesio cuning,Trap,23.861
Test_FF_Site,2003,Caesio cuning,Trap,24.155
Test_FF_Site,2003,Caesio cuning,Trap,22.879
Test_FF_Site,2003,Caesio cuning,Trap,23.457
Test_FF_Site,2003,Caesio cuning,Trap,21.958
Test_FF_Site,2003,Caesio cuning,Handline,30.665
Test_FF_Site,2003,Caesio cuning,Trap,22.896
Test_FF_Site,2003,Caesio cuning,Trap,26.928
Test_FF_Site,2003,Caesio cuning,Trap,25.597
Test_FF_Site,2003,Caesio cuning,Trap,26.083
Test_FF_Site,2003,Caesio cuning,Trap,22.55
Test_FF_Site,2003,Caesio cuning,Trap,23.239
Test_FF_Site,2003,Caesio cuning,Trap,23.798
Test_FF_Site,2003,Caesio cuning,Trap,24.303
Test_FF_Site,2003,Caesio cuning,Trap,36.71
Test_FF_Site,2003,Caesio cuning,Trap,35.07
Test_FF_Site,2003,Caesio cuning,Trap,33.149
