Country,Species,Common,Code,L_inf,k,t0,M,Wa,Wb,m50,m95
Philippines,Abalistes stellaris,Starry triggerfish,ABALST,"Fishbase (2010) Life History Data on Abalistes stellaris, starry triggerfish. Accessed 1/26/2016.","Fishbase (2010) Life History Data on Abalistes stellaris, starry triggerfish. Accessed 1/26/2016.","Fishbase (2010) Life History Data on Abalistes stellaris, starry triggerfish. Accessed 1/26/2016.","Fishbase (2010) Life History Data on Abalistes stellaris, starry triggerfish. Accessed 1/26/2016.","Kulbicki M, N Guillemot, & M Amand (2005) A general approach to length-weight relationships for New Caledonian lagoon fishes. Cybium, 29(3), 235-252.","Kulbicki M, N Guillemot, & M Amand (2005) A general approach to length-weight relationships for New Caledonian lagoon fishes. Cybium, 29(3), 235-252.","Fishbase (2010) Life History Data on Abalistes stellaris, starry triggerfish. Accessed 1/26/2016.",Incofish equation.
Philippines,Acanthocybium solandri,Wahoo,ACANSO,"Zischke MT, SP Griffiths, & IR Tibbetts (2013) Rapid growth of wahoo (Acanthocybium solandri) in the Coral Sea, based on length-at-age estimates using annual and daily increments on sagittal otoliths. ICES Journal of Marine Sciences, 70(6), 1128-1139.","Zischke MT, SP Griffiths, & IR Tibbetts (2013) Rapid growth of wahoo (Acanthocybium solandri) in the Coral Sea, based on length-at-age estimates using annual and daily increments on sagittal otoliths. ICES Journal of Marine Sciences, 70(6), 1128-1139.","Zischke MT, SP Griffiths, & IR Tibbetts (2013) Rapid growth of wahoo (Acanthocybium solandri) in the Coral Sea, based on length-at-age estimates using annual and daily increments on sagittal otoliths. ICES Journal of Marine Sciences, 70(6), 1128-1139.","TM Lee, personal communication. In Zischke MT (2012) A review of the biology, stock structure, fisheries and status of wahoo (Acanthocybium solandri), with reference to the Pacific Ocean. Fisheries Research, 119-120, 13-22.","Uchiyama JH & CH Boggs (2006) Length-weight relationships of dolphinfish, Coryphaena hippurus, and wahoo, Acanthocybium solandri: seasonal effects of spawning and possible migration in the central north Pacific. Marine Fisheries Review, 68(1-4), 19-29.","Uchiyama JH & CH Boggs (2006) Length-weight relationships of dolphinfish, Coryphaena hippurus, and wahoo, Acanthocybium solandri: seasonal effects of spawning and possible migration in the central north Pacific. Marine Fisheries Review, 68(1-4), 19-29.","Brown-Peterson NJ, JS Franks, & AM Burke (2000) Preliminary observations on the reproductive biology of Wahoo, Acanthocybium solandri, from the nothern Gulf of Mexico and Bimini, Bahamas. Proceedings of the Gulf and Caribbean Research Institute, 51, 414-427.",Incofish equation.
Philippines,Acanthurus nigrofuscus,Brown surgeon fish,ACANNI,"Hart AM & GR Russ (1996) Response of herbivorous fishes to crown-of-thorns starfish Acanthaster planci outbreaks. III. Age, growth, mortality and maturity indices of Acanthurus nigrofuscus. Marine Ecology Progress Series, 136, 25-35.","Hart AM & GR Russ (1996) Response of herbivorous fishes to crown-of-thorns starfish Acanthaster planci outbreaks. III. Age, growth, mortality and maturity indices of Acanthurus nigrofuscus. Marine Ecology Progress Series, 136, 25-35.","Hart AM & GR Russ (1996) Response of herbivorous fishes to crown-of-thorns starfish Acanthaster planci outbreaks. III. Age, growth, mortality and maturity indices of Acanthurus nigrofuscus. Marine Ecology Progress Series, 136, 25-35.","Hart AM & GR Russ (1996) Response of herbivorous fishes to crown-of-thorns starfish Acanthaster planci outbreaks. III. Age, growth, mortality and maturity indices of Acanthurus nigrofuscus. Marine Ecology Progress Series, 136, 25-35.","Kulbicki M, N Guillemot, & M Amand (2005) A general approach to length-weight relationships for New Caledonian lagoon fishes. Cybium, 29(3), 235-252.","Kulbicki M, N Guillemot, & M Amand (2005) A general approach to length-weight relationships for New Caledonian lagoon fishes. Cybium, 29(3), 235-252.","Hart AM & GR Russ (1996) Response of herbivorous fishes to crown-of-thorns starfish Acanthaster planci outbreaks. III. Age, growth, mortality and maturity indices of Acanthurus nigrofuscus. Marine Ecology Progress Series, 136, 25-35.",NA
Philippines,Anguilla bicolor bicolor,Shortfin Eel,ANGUBI,"Fishbase (2007) Life History Data on Anguilla bicolor,
Indonesian shortfin eel. Accessed 12/11/2015.","Fishbase (2007) Life History Data on Anguilla bicolor,
Indonesian shortfin eel. Accessed 12/11/2015.","Fishbase (2007) Life History Data on Anguilla bicolor,
Indonesian shortfin eel. Accessed 12/11/2015.","Fishbase (2007) Life History Data on Anguilla bicolor,
Indonesian shortfin eel. Accessed 12/11/2015.","Froese R, J Thorson, & RB Reyes Jr (2013) A Bayesian approach for estimating length-weight relationships in fishes. Journal of Applied Ichthyology, (2013), 1-7.","Froese R, J Thorson, & RB Reyes Jr (2013) A Bayesian approach for estimating length-weight relationships in fishes. Journal of Applied Ichthyology, (2013), 1-7.","Fishbase (2007) Life History Data on Anguilla bicolor,
Indonesian shortfin eel. Accessed 12/11/2015.",NA
Philippines,Aprion virescens,Green Jobfish,APRIVI,"Loubens G (1980) Biologie de quelques espèces de poissons du lagon Néo-Calédonien: III. Croissance. Cahiers de l'Indo-pacifique, 2(2), 101-153.","Loubens G (1980) Biologie de quelques espèces de poissons du lagon Néo-Calédonien: III. Croissance. Cahiers de l'Indo-pacifique, 2(2), 101-153.","Loubens G (1980) Biologie de quelques espèces de poissons du lagon Néo-Calédonien: III. Croissance. Cahiers de l'Indo-pacifique, 2(2), 101-153.","Loubens G (1980) Biologie de quelques espèces de poissons du lagon Néo-Calédonien: III. Croissance. Cahiers de l'Indo-pacifique, 2(2), 101-153.","Pauly D, A Cabanban, & FSB Torres Jr. (1996) Fishery biology of 40 trawl-caught teleosts of western Indonesia. In D Pauly & P Martosubroto (eds.) Baseline studies of biodiversity: the fish resource of western Indonesia. ICLARM Studies and Reviews 23. pp. 135-216.","Pauly D, A Cabanban, & FSB Torres Jr. (1996) Fishery biology of 40 trawl-caught teleosts of western Indonesia. In D Pauly & P Martosubroto (eds.) Baseline studies of biodiversity: the fish resource of western Indonesia. ICLARM Studies and Reviews 23. pp. 135-216.","Everson AR, HA Williams, & RM Ito (1999) Maturation and reproduction in two Hawaiian eteline snappers, uku, Aprion virescens, and onaga, Etelis coruscans. Fishery Bulletin, 87, 877-888.",NA
Philippines,Bolbometopon muricatum,Bumphead Parrotfish,BOLBMU,"Couture E & C Chauvet (1994) Growth of the green humphead parrotfish (Bolbometopon muricatum) and its exploitation in New Caledonia. South Pacific Commission, Fisheries 25, Fisheries Information Paper 4.","Couture E & C Chauvet (1994) Growth of the green humphead parrotfish (Bolbometopon muricatum) and its exploitation in New Caledonia. South Pacific Commission, Fisheries 25, Fisheries Information Paper 4.","Couture E & C Chauvet (1994) Growth of the green humphead parrotfish (Bolbometopon muricatum) and its exploitation in New Caledonia. South Pacific Commission, Fisheries 25, Fisheries Information Paper 4.","Couture E & C Chauvet (1994) Growth of the green humphead parrotfish (Bolbometopon muricatum) and its exploitation in New Caledonia. South Pacific Commission, Fisheries 25, Fisheries Information Paper 4.","Couture E & C Chauvet (1994) Growth of the green humphead parrotfish (Bolbometopon muricatum) and its exploitation in New Caledonia. South Pacific Commission, Fisheries 25, Fisheries Information Paper 4.","Couture E & C Chauvet (1994) Growth of the green humphead parrotfish (Bolbometopon muricatum) and its exploitation in New Caledonia. South Pacific Commission, Fisheries 25, Fisheries Information Paper 4.","Hamilton RJ, S Adams, & JH Choat (2008) Sexual development and reproductive demography of the green humphead parrotfish (Bolbometopon muricatum) in the Solomon Islands. Coral Reefs, 27, 153-163.",NA
Philippines,Caesio cuning,Yellowtail fusilier,CAESCU,Sapriyadi TE & A Zulfikar. Kajian mortalitas dan laju eksploitasi ikan ekor kuning (Caesio cuning) dari laut Natuna yang di daratkan pada tempat pendaratan ikan Barek Motor Kelurahan kijang kota. Universitas Maritim Raja Ali Haji E-journal. Accessed 1/5/16.,Sapriyadi TE & A Zulfikar. Kajian mortalitas dan laju eksploitasi ikan ekor kuning (Caesio cuning) dari laut Natuna yang di daratkan pada tempat pendaratan ikan Barek Motor Kelurahan kijang kota. Universitas Maritim Raja Ali Haji E-journal. Accessed 1/5/16.,Sapriyadi TE & A Zulfikar. Kajian mortalitas dan laju eksploitasi ikan ekor kuning (Caesio cuning) dari laut Natuna yang di daratkan pada tempat pendaratan ikan Barek Motor Kelurahan kijang kota. Universitas Maritim Raja Ali Haji E-journal. Accessed 1/5/16.,Sapriyadi TE & A Zulfikar. Kajian mortalitas dan laju eksploitasi ikan ekor kuning (Caesio cuning) dari laut Natuna yang di daratkan pada tempat pendaratan ikan Barek Motor Kelurahan kijang kota. Universitas Maritim Raja Ali Haji E-journal. Accessed 1/5/16.,Sapriyadi TE & A Zulfikar. Kajian mortalitas dan laju eksploitasi ikan ekor kuning (Caesio cuning) dari laut Natuna yang di daratkan pada tempat pendaratan ikan Barek Motor Kelurahan kijang kota. Universitas Maritim Raja Ali Haji E-journal. Accessed 1/5/16.,Sapriyadi TE & A Zulfikar. Kajian mortalitas dan laju eksploitasi ikan ekor kuning (Caesio cuning) dari laut Natuna yang di daratkan pada tempat pendaratan ikan Barek Motor Kelurahan kijang kota. Universitas Maritim Raja Ali Haji E-journal. Accessed 1/5/16.,Sapriyadi TE & A Zulfikar. Kajian mortalitas dan laju eksploitasi ikan ekor kuning (Caesio cuning) dari laut Natuna yang di daratkan pada tempat pendaratan ikan Barek Motor Kelurahan kijang kota. Universitas Maritim Raja Ali Haji E-journal. Accessed 1/5/16.,NA
Philippines,Caranx ignobilis,Giant trevally,CARAIG,"Smith GC & JD Parrish (2002) Estuaries as nurseries for the jacks Caranx ignobilis and Caranx melampygus (Carangidae) in Hawaii. Estuarine, Coastal and Shelf Science, 55, 347-359.","Smith GC & JD Parrish (2002) Estuaries as nurseries for the jacks Caranx ignobilis and Caranx melampygus (Carangidae) in Hawaii. Estuarine, Coastal and Shelf Science, 55, 347-359.","Smith GC & JD Parrish (2002) Estuaries as nurseries for the jacks Caranx ignobilis and Caranx melampygus (Carangidae) in Hawaii. Estuarine, Coastal and Shelf Science, 55, 347-359.","Fry GC, DT Brewer, & WN Venables (2006) Vulnerability of deepwater demersal fishes to commercial fishing: evidence from a study around a tropical volcanic seamount in Papua New Guinea. Fisheries Research, 81(2-3), 126-141.","Pauly D, A Cabanban, & FSB Torres Jr. (1996) Fishery biology of 40 trawl-caught teleosts of western Indonesia. In D Pauly & P Martosubroto (eds.) Baseline studies of biodiversity: the fish resource of western Indonesia. ICLARM Studies and Reviews 23. pp. 135-216.","Pauly D, A Cabanban, & FSB Torres Jr. (1996) Fishery biology of 40 trawl-caught teleosts of western Indonesia. In D Pauly & P Martosubroto (eds.) Baseline studies of biodiversity: the fish resource of western Indonesia. ICLARM Studies and Reviews 23. pp. 135-216.","Smith GC & JD Parrish (2002) Estuaries as nurseries for the jacks Caranx ignobilis and Caranx melampygus (Carangidae) in Hawaii. Estuarine, Coastal and Shelf Science, 55, 347-359.",NA
Philippines,Caranx melampygus,Bluefin trevally,CARME,"Sudekum AE, JD Parrish, RL Radtke, & SV Ralston. Unpublished data, cited it: Munro JL & DM Williams (1985) Assessment and management of coral reef fisheries: biological, environmental and socio-economic aspects. Proceedings of the Fifth International Coral Reef Congress, Tahiti, 1985, Vol. 4, Seminar C.","Sudekum AE, JD Parrish, RL Radtke, & SV Ralston. Unpublished data, cited it: Munro JL & DM Williams (1985) Assessment and management of coral reef fisheries: biological, environmental and socio-economic aspects. Proceedings of the Fifth International Coral Reef Congress, Tahiti, 1985, Vol. 4, Seminar C.","Sudekum AE, JD Parrish, RL Radtke, & SV Ralston. Unpublished data, cited it: Munro JL & DM Williams (1985) Assessment and management of coral reef fisheries: biological, environmental and socio-economic aspects. Proceedings of the Fifth International Coral Reef Congress, Tahiti, 1985, Vol. 4, Seminar C.","Fry GC, DT Brewer, & WN Venables (2006) Vulnerability of deepwater demersal fishes to commercial fishing: evidence from a study around a tropical volcanic seamount in Papua New Guinea. Fisheries Research, 81(2-3), 126-141.","Kulbicki M, N Guillemot, & M Amand (2005) A general approach to length-weight relationships for New Caledonian lagoon fishes. Cybium, 29(3), 235-252.","Kulbicki M, N Guillemot, & M Amand (2005) A general approach to length-weight relationships for New Caledonian lagoon fishes. Cybium, 29(3), 235-252.","Sudekum AE, JD Parrish, RL Radtke, & S Ralston (1991) Life history and ecology of large jacks in undisturbed, shallow, oceanic communities. Fishery Bulletin, 89, 493-513.",NA
Philippines,Caranx sexfasciatus,Bigeye trevally,CARASE,"Wright A, P Dalzell, & A Richards. Kavieng Laboratory, Fisheries Research and Surveys Branch, Papua New Guinea. Unpublished data, cited in: Munro JL & DM Williams (1985) Assessment and management of coral reef fisheries: biological, environmental and socio-economic aspects. Proceedings of the Fifth International Coral Reef Congress, Tahiti, 1985, Vol. 4, Seminar C.","Wright A, P Dalzell, & A Richards. Kavieng Laboratory, Fisheries Research and Surveys Branch, Papua New Guinea. Unpublished data, cited in: Munro JL & DM Williams (1985) Assessment and management of coral reef fisheries: biological, environmental and socio-economic aspects. Proceedings of the Fifth International Coral Reef Congress, Tahiti, 1985, Vol. 4, Seminar C.","Wright A, P Dalzell, & A Richards. Kavieng Laboratory, Fisheries Research and Surveys Branch, Papua New Guinea. Unpublished data, cited in: Munro JL & DM Williams (1985) Assessment and management of coral reef fisheries: biological, environmental and socio-economic aspects. Proceedings of the Fifth International Coral Reef Congress, Tahiti, 1985, Vol. 4, Seminar C.","Wright A, P Dalzell, & A Richards. Kavieng Laboratory, Fisheries Research and Surveys Branch, Papua New Guinea. Unpublished data, cited in: Munro JL & DM Williams (1985) Assessment and management of coral reef fisheries: biological, environmental and socio-economic aspects. Proceedings of the Fifth International Coral Reef Congress, Tahiti, 1985, Vol. 4, Seminar C.","Kulbicki M, N Guillemot, & M Amand (2005) A general approach to length-weight relationships for New Caledonian lagoon fishes. Cybium, 29(3), 235-252.","Kulbicki M, N Guillemot, & M Amand (2005) A general approach to length-weight relationships for New Caledonian lagoon fishes. Cybium, 29(3), 235-252.","Wright A, P Dalzell, & A Richards. Kavieng Laboratory, Fisheries Research and Surveys Branch, Papua New Guinea. Unpublished data, cited in: Munro JL & DM Williams (1985) Assessment and management of coral reef fisheries: biological, environmental and socio-economic aspects. Proceedings of the Fifth International Coral Reef Congress, Tahiti, 1985, Vol. 4, Seminar C.",NA
