Year,site,Management Type,access,transect,Reserve,Biomass
2004,Kumbang 1,Core Zone,No Take Zone,1,1,21.24803934
2004,Kumbang 1,Core Zone,No Take Zone,2,1,14.99937627
2004,Kumbang 1,Core Zone,No Take Zone,3,1,22.26277036
2004,Kumbang 3,Core Zone,No Take Zone,1,1,9.311350158
2004,Kumbang 3,Core Zone,No Take Zone,2,1,11.2335098
2004,Kumbang 3,Core Zone,No Take Zone,3,1,12.888501
2004,Legon Janten,Core Zone,No Take Zone,1,1,26.30421598
2004,Legon Janten,Core Zone,No Take Zone,2,1,24.03141859
2004,Legon Janten,Core Zone,No Take Zone,3,1,28.59568909
2004,Taka Malang E,Core Zone,No Take Zone,1,1,5.863817858
2004,Taka Malang E,Core Zone,No Take Zone,2,1,5.803930541
2004,Taka Malang E,Core Zone,No Take Zone,3,1,6.226535064
2004,Taka Malang W,Core Zone,No Take Zone,1,1,15.42563939
2004,Taka Malang W,Core Zone,No Take Zone,2,1,6.321560345
2004,Taka Malang W,Core Zone,No Take Zone,3,1,15.78145083
2004,Taka Menyawakan E,Core Zone,No Take Zone,1,1,14.15358932
2004,Taka Menyawakan E,Core Zone,No Take Zone,2,1,4.790746827
2004,Taka Menyawakan E,Core Zone,No Take Zone,3,1,1.620918764
2004,Taka Menyawakan W,Core Zone,No Take Zone,1,1,21.84003631
2004,Taka Menyawakan W,Core Zone,No Take Zone,2,1,15.89197351
2004,Taka Menyawakan W,Core Zone,No Take Zone,3,1,20.46483406
2004,Tanjung Dua,Core Zone,No Take Zone,1,1,13.54210702
2004,Tanjung Dua,Core Zone,No Take Zone,2,1,17.69155194
2004,Tanjung Dua,Core Zone,No Take Zone,3,1,5.114884995
2005,Kumbang 1,Core Zone,No Take Zone,1,1,11.17788578
2005,Kumbang 1,Core Zone,No Take Zone,2,1,10.00777326
2005,Kumbang 2,Core Zone,No Take Zone,1,1,7.626996451
2005,Kumbang 2,Core Zone,No Take Zone,2,1,7.856140581
2005,Kumbang 3,Core Zone,No Take Zone,1,1,14.64395915
