site,year,annual_trip_id,hours,permanent_trip_id,gear,inside_TURF,species,sampled_catch,total_catch
Test_FF_Site,2009,1,8,2009_1,Handline,Inside,Thunus tonggol,15.0,18
Test_FF_Site,2009,1,8,2009_1,Handline,Inside,Decapterus russelli,3.0,NA
Test_FF_Site,2009,2,8,2009_2,Handline,Inside,Thunus tonggol,20.0,20
Test_FF_Site,2009,3,8,2009_3,Gill Net,Inside,Siganus doliatus,10.0,NA
Test_FF_Site,2009,3,8,2009_3,Gill Net,Inside,Siganus guttatus,1.5,NA
Test_FF_Site,2009,3,8,2009_3,Gill Net,Inside,Scarus ghobban,0.5,13
Test_FF_Site,2009,3,8,2009_3,Gill Net,Inside,Hemigymnus melapterus,0.2,NA
Test_FF_Site,2009,3,8,2009_3,Gill Net,Inside,Siganus punctatus,0.8,NA
Test_FF_Site,2009,4,8,2009_4,Handline,Outside,Euthynnus affinis,9.5,19
Test_FF_Site,2009,4,8,2009_4,Handline,Outside,Seriola dumerili,7.0,NA
Test_FF_Site,2009,4,8,2009_4,Handline,Outside,Thunus tonggol,2.5,NA
Test_FF_Site,2009,5,8,2009_5,Handline,Outside,Euthynnus affinis,7.5,7.5
Test_FF_Site,2009,6,8,2009_6,Handline,Outside,Thunus tonggol,18.0,30
Test_FF_Site,2009,6,8,2009_6,Handline,Outside,Euthynnus affinis,12.0,NA
Test_FF_Site,2009,7,8,2009_7,Handline,Outside,Euthynnus affinis,33.0,50
Test_FF_Site,2009,7,8,2009_7,Handline,Outside,Pinjalo pinjalo,4.0,NA
Test_FF_Site,2009,7,8,2009_7,Handline,Outside,Decapterus russelli,8.5,NA
Test_FF_Site,2009,7,8,2009_7,Handline,Outside,Caesio caerulaurea,4.5,NA
Test_FF_Site,2009,8,8,2009_8,Handline,Outside,Euthynnus affinis,2.0,4.5
Test_FF_Site,2009,8,8,2009_8,Handline,Outside,Thunus tonggol,2.5,NA
Test_FF_Site,2009,9,8,2009_9,Muroami,Inside,Caesio cuning,265.0,378
Test_FF_Site,2009,9,8,2009_9,Muroami,Inside,Caesio cuning,65.0,NA
Test_FF_Site,2009,9,8,2009_9,Muroami,Inside,Pterocaesio lativittata,48.0,NA
Test_FF_Site,2009,10,8,2009_10,Speargun,Inside,Caesio cuning,54.0,79
Test_FF_Site,2009,10,8,2009_10,Speargun,Inside,Scarus sp,7.0,NA
Test_FF_Site,2009,10,8,2009_10,Speargun,Inside,Lutjanus argentimaculatus,1.0,NA
Test_FF_Site,2009,10,8,2009_10,Speargun,Inside,Cephalopholis cyanostigma,7.5,NA
Test_FF_Site,2009,10,8,2009_10,Speargun,Inside,Plectropomus oligacanthus,0.8,NA
Test_FF_Site,2009,10,8,2009_10,Speargun,Inside,Plectropomus oligacanthus,4.2,NA
Test_FF_Site,2009,10,8,2009_10,Speargun,Inside,Epinephelus fuscoguttatus,4.5,NA
Test_FF_Site,2009,11,8,2009_11,Speargun,Outside,Caesio cuning,87.0,116
Test_FF_Site,2009,11,8,2009_11,Speargun,Outside,Lethrinus olivaceus,5.0,NA
Test_FF_Site,2009,11,8,2009_11,Speargun,Outside,Plectorhinchus chaetodonoides,8.0,NA
Test_FF_Site,2009,11,8,2009_11,Speargun,Outside,Sepia sp,4.0,NA
Test_FF_Site,2009,11,8,2009_11,Speargun,Outside,Scarus sp,2.5,NA
Test_FF_Site,2009,11,8,2009_11,Speargun,Outside,Plectropomus oligacanthus,0.5,NA
Test_FF_Site,2009,11,8,2009_11,Speargun,Outside,Plectropomus leopardus,0.5,NA
Test_FF_Site,2009,11,8,2009_11,Speargun,Outside,Scarus sp,1.0,NA
Test_FF_Site,2009,11,8,2009_11,Speargun,Outside,Epinephelus ongus,7.5,NA
Test_FF_Site,2009,12,8,2009_12,Speargun,Inside,Caesio cuning,67.0,73.7
Test_FF_Site,2009,12,8,2009_12,Speargun,Inside,Platax teira,5.0,NA
Test_FF_Site,2009,12,8,2009_12,Speargun,Inside,Epinephelus ongus,1.0,NA
Test_FF_Site,2009,12,8,2009_12,Speargun,Inside,Plectropomus oligacanthus,0.7,NA
Test_FF_Site,2009,13,8,2009_13,Speargun,Outside,Plectropomus oligacanthus,3.5,88.8
Test_FF_Site,2009,13,8,2009_13,Speargun,Outside,Plectropomus oligacanthus,0.4,NA
Test_FF_Site,2009,13,8,2009_13,Speargun,Outside,Plectropomus oligacanthus,2.4,NA
Test_FF_Site,2009,13,8,2009_13,Speargun,Outside,Plectropomus oligacanthus,1.7,NA
Test_FF_Site,2009,13,8,2009_13,Speargun,Outside,Plectropomus leopardus,1.5,NA
Test_FF_Site,2009,13,8,2009_13,Speargun,Outside,Plectropomus areolatus,1.8,NA
Test_FF_Site,2009,13,8,2009_13,Speargun,Outside,Epinephelus ongus,6.0,NA
Test_FF_Site,2009,13,8,2009_13,Speargun,Outside,Platax teira,0.5,NA
Test_FF_Site,2009,13,8,2009_13,Speargun,Outside,Caesio cuning,71.0,71
Test_FF_Site,2009,14,8,2009_14,Handline,Inside,Thunus tonggol,16.0,16
Test_FF_Site,2009,15,8,2009_15,Handline,Inside,Thunus tonggol,8.0,10
Test_FF_Site,2009,15,8,2009_15,Handline,Inside,Seriola dumerili,2.0,NA
Test_FF_Site,2009,16,8,2009_16,Handline,Inside,Thunus tonggol,12.0,12
Test_FF_Site,2009,17,8,2009_17,Handline,Inside,Thunus tonggol,15.0,18
Test_FF_Site,2009,17,8,2009_17,Handline,Inside,Seriola dumerili,3.0,NA
Test_FF_Site,2009,18,8,2009_18,Speargun,Inside,Caesio cuning,14.0,17
Test_FF_Site,2009,18,8,2009_18,Speargun,Inside,Plectropomus oligacanthus,3.0,NA
Test_FF_Site,2009,19,8,2009_19,Speargun,Inside,Caesio cuning,68.5,83.5
Test_FF_Site,2009,19,8,2009_19,Speargun,Inside,Plectropomus areolatus,3.3,NA
Test_FF_Site,2009,19,8,2009_19,Speargun,Inside,Plectropomus oligacanthus,1.3,NA
Test_FF_Site,2009,19,8,2009_19,Speargun,Inside,Plectropomus oligacanthus,1.8,NA
Test_FF_Site,2009,19,8,2009_19,Speargun,Inside,Plectropomus leopardus,1.4,NA
Test_FF_Site,2009,19,8,2009_19,Speargun,Inside,Plectropomus oligacanthus,0.8,NA
Test_FF_Site,2009,19,8,2009_19,Speargun,Inside,Epinephelus ongus,5.6,NA
