Year,Species,Density_Fished,Density_Unfished,site,country
2005,Bolbometopon muricatum,17.5,20,Karimunjawa National Park,Indonesia
2005,Caesio cuning,277.9310344827586,355.23809523809524,Karimunjawa National Park,Indonesia
2005,Plectropomus oligacanthus,13.333333333333334,10,Karimunjawa National Park,Indonesia
2005,Scarus ghobban,27.5,25,Karimunjawa National Park,Indonesia
2006,Caesio cuning,323.8157894736842,363.38235294117646,Karimunjawa National Park,Indonesia
2006,Plectropomus oligacanthus,10,10,Karimunjawa National Park,Indonesia
2006,Scarus ghobban,11.666666666666666,13.333333333333334,Karimunjawa National Park,Indonesia
2007,Bolbometopon muricatum,10,10,Karimunjawa National Park,Indonesia
2007,Caesio cuning,243.3695652173913,219.53488372093022,Karimunjawa National Park,Indonesia
2007,Plectropomus areolatus,10,10,Karimunjawa National Park,Indonesia
2007,Plectropomus oligacanthus,10,20,Karimunjawa National Park,Indonesia
2007,Scarus ghobban,15,10,Karimunjawa National Park,Indonesia
2009,Caesio cuning,543.8461538461538,248.92857142857142,Karimunjawa National Park,Indonesia
2009,Plectropomus oligacanthus,10,10,Karimunjawa National Park,Indonesia
2009,Scarus ghobban,12.941176470588236,14,Karimunjawa National Park,Indonesia
2012,Caesio cuning,166.60256410256412,163.0612244897959,Karimunjawa National Park,Indonesia
2012,Plectropomus oligacanthus,10,10,Karimunjawa National Park,Indonesia
2012,Scarus ghobban,11,14.285714285714286,Karimunjawa National Park,Indonesia
2013,Bolbometopon muricatum,10,23.333333333333332,Karimunjawa National Park,Indonesia
2013,Caesio cuning,307.3376623376623,236.71052631578948,Karimunjawa National Park,Indonesia
2013,Plectropomus areolatus,10,10,Karimunjawa National Park,Indonesia
2013,Scarus ghobban,10,16.363636363636363,Karimunjawa National Park,Indonesia
