country,site,year,date,gear,inside_area,species,length_cm,count
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,35.704,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,29.318,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,34.046,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,35.844,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,34.467,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,27.672,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,30.438,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,26.715,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,32.57,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,35.084,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,39.884,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Plectropomus oligacanthus,46.132,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Plectropomus oligacanthus,38.735,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,27.557,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,28.621,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,29.38,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,26.191,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Caesio cuning,34.041,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Muroami,Inside,Caesio cuning,27.193,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Muroami,Inside,Caesio cuning,25.572,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Muroami,Inside,Caesio cuning,26.253,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Muroami,Inside,Caesio cuning,28.215,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Muroami,Inside,Caesio cuning,25.647,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Muroami,Inside,Caesio cuning,30.682,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Muroami,Inside,Caesio cuning,23.157,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Handline,Inside,Plectropomus oligacanthus,35.822,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Handline,Inside,Plectropomus oligacanthus,43.311,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Trap,Inside,Scarus ghobban,35.531,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Handline,Inside,Plectropomus leopardus,60.878,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Handline,Inside,Plectropomus oligacanthus,34.346,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Handline,Inside,Plectropomus oligacanthus,46.986,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Handline,Outside,Plectropomus oligacanthus,61.569,1
Indonesia,Karimunjawa National Park,2003,4/30/03,Handline,Outside,Plectropomus oligacanthus,44.745,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,18.58,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,16.176,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,19.919,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,20.875,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,19.343,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,19.836,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,16.04,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,19.816,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,17.309,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,21.91,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,20.227,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,19.309,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,13.997,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Handline,Outside,Caesio cuning,19.106,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Gillnet,Inside,Bolbometopon muricatum,51.886,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Gillnet,Inside,Caesio cuning,33.162,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Gillnet,Inside,Caesio cuning,32.713,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Gillnet,Inside,Caesio cuning,32.577,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Trap,Inside,Caesio cuning,28.698,1
Indonesia,Karimunjawa National Park,2003,5/1/03,Trap,Inside,Scarus ghobban,28.262,1
Indonesia,Karimunjawa National Park,2003,5/2/03,Gillnet,Inside,Scarus ghobban,52.289,1
Indonesia,Karimunjawa National Park,2003,5/2/03,Gillnet,Inside,Caranx ignobilis,61.798,1
Indonesia,Karimunjawa National Park,2003,5/2/03,Trap,Inside,Caesio cuning,33.417,1
Indonesia,Karimunjawa National Park,2003,5/3/03,Handline,Inside,Plectropomus areolatus,32.164,1
Indonesia,Karimunjawa National Park,2003,5/3/03,Gillnet,Inside,Bolbometopon muricatum,61.241,1
Indonesia,Karimunjawa National Park,2003,5/4/03,Gillnet,Inside,Caesio cuning,26.96,1
Indonesia,Karimunjawa National Park,2003,5/4/03,Gillnet,Inside,Bolbometopon muricatum,61.964,1
Indonesia,Karimunjawa National Park,2003,5/5/03,Gillnet,Inside,Caesio cuning,34.585,1
Indonesia,Karimunjawa National Park,2003,5/5/03,Gillnet,Inside,Caesio cuning,36.98,1
Indonesia,Karimunjawa National Park,2003,5/5/03,Gillnet,Inside,Caesio cuning,34.847,1
Indonesia,Karimunjawa National Park,2003,5/5/03,Trap,Inside,Caesio cuning,30.813,1
Indonesia,Karimunjawa National Park,2003,5/5/03,Trap,Inside,Caesio cuning,30.012,1
Indonesia,Karimunjawa National Park,2003,5/5/03,Trap,Inside,Caesio cuning,27.474,1
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,85.675,1
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,80.97,1
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,52.265,1
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,49.386,1
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,56.913,1
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,54.739,1
Indonesia,Karimunjawa National Park,2003,5/7/03,Gillnet,Inside,Caesio cuning,35.357,1
Indonesia,Karimunjawa National Park,2003,5/7/03,Trap,Inside,Caesio cuning,27.328,1
Indonesia,Karimunjawa National Park,2003,5/7/03,Trap,Inside,Scarus ghobban,30.539,1
Indonesia,Karimunjawa National Park,2003,5/7/03,Trap,Inside,Scarus ghobban,37.639,1
Indonesia,Karimunjawa National Park,2003,5/7/03,Gillnet,Inside,Bolbometopon muricatum,47.222,1
Indonesia,Karimunjawa National Park,2003,5/7/03,Gillnet,Inside,Plectropomus oligacanthus,32.973,1
Indonesia,Karimunjawa National Park,2003,5/7/03,Gillnet,Inside,Bolbometopon muricatum,57.553,1
Indonesia,Karimunjawa National Park,2003,5/8/03,Trap,Inside,Caesio cuning,31.753,1
Indonesia,Karimunjawa National Park,2003,5/8/03,Trap,Inside,Caesio cuning,33.118,1
Indonesia,Karimunjawa National Park,2003,5/8/03,Trap,Inside,Caesio cuning,26.298,1
Indonesia,Karimunjawa National Park,2003,5/11/03,Trap,Inside,Caesio cuning,23.861,1
Indonesia,Karimunjawa National Park,2003,5/11/03,Trap,Inside,Caesio cuning,24.155,1
Indonesia,Karimunjawa National Park,2003,5/11/03,Trap,Inside,Caesio cuning,22.879,1
Indonesia,Karimunjawa National Park,2003,5/11/03,Trap,Inside,Caesio cuning,23.457,1
Indonesia,Karimunjawa National Park,2003,5/11/03,Trap,Inside,Caesio cuning,21.958,1
Indonesia,Karimunjawa National Park,2003,5/11/03,Handline,Inside,Caesio cuning,30.665,1
Indonesia,Karimunjawa National Park,2003,5/11/03,Handline,Inside,Scarus ghobban,19.473,1
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,22.896,1
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,26.928,1
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,25.597,1
